date,weeklySales
2012-02-03,109394.82
2012-02-10,119784.16
2012-02-17,113928.68
2012-02-24,118898.38
2012-03-02,111733.43
2012-03-09,113949.26
2012-03-16,109687.74
2012-03-23,108432.35
2012-03-30,104428.38
2012-04-06,120896.84
2012-04-13,109282.13
2012-04-20,106444.89
2012-04-27,100435.09
2012-05-04,109105.81
2012-05-11,100546.67
2012-05-18,102494.01
2012-05-25,108660.46
2012-06-01,103012.31
2012-06-08,109543.37
2012-06-15,108530.26
2012-06-22,102144.47
2012-06-29,105107.69
2012-07-06,109596.98
2012-07-13,107945.92
2012-07-20,106771.51
2012-07-27,104651.11
2012-08-03,113930.5
2012-08-10,112523.39
2012-08-17,113259.2
2012-08-24,106630.07
2012-08-31,95671.5
2012-09-07,106094.76
2012-09-14,99757.84
2012-09-21,105282.5
2012-09-28,101696.68
2012-10-05,105938.79
2012-10-12,99426.46
2012-10-19,102492.76
2012-10-26,101458.77
